IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS
7502551-E00190-EstFer-Semaine-01,2523,44.416610999999996,8.92243,PRINCIPE FS/CAPOLINEA,054-133
7502586-E00190-EstFer-Semaine-01,1835,44.416278999999996,8.919989999999999,DORIA/METRO' PRINCIPE,038-133
7502586-E00190-EstFer-Semaine-01,2151,44.415896999999994,8.916356,SAN BENEDETTO/AMBA ALAGI,038-133
7502586-E00190-EstFer-Semaine-01,2369,44.410969,8.904896,CANTORE 5/COL,038-133
7502811-E00190-EstFer-Semaine-01,1178,44.412743,8.888413,MONTANO/SAMPIERDARENA FS,165-133
7502811-E00190-EstFer-Semaine-01,1745,44.413445,8.899911999999999,FANTI 3/,165-133
7502811-E00190-EstFer-Semaine-01,1746,44.415188,8.900914,FANTI 4/CONTE DANTE,165-133
7502811-E00190-EstFer-Semaine-01,1747,44.415081,8.899805,CARREA 1/FANTI,165-133
7502811-E00190-EstFer-Semaine-01,1748,44.415348,8.899173,CARREA 2/,165-133
7502811-E00190-EstFer-Semaine-01,1749,44.41407,8.898864999999999,CARREA 3/DERCHI,165-133
7502811-E00190-EstFer-Semaine-01,1750,44.412434000000005,8.898432000000001,FANTI 5/SCASSI,165-133
7502812-E00190-EstFer-Semaine-01,1743,44.412533,8.898543,FANTI 1/SCASSI,165-133
7502812-E00190-EstFer-Semaine-01,1744,44.413151,8.898716,FANTI 2/CARREA,165-133
7502920-E00190-EstFer-Semaine-01,1164,44.412514,8.90937,DINEGRO/TERMINAL TRAGHETTI,660-133
7502920-E00190-EstFer-Semaine-01,1179,44.413703999999996,8.893882000000001,MARTINETTI 1/MONTI,660-133
7502920-E00190-EstFer-Semaine-01,1180,44.4216,8.899936,PORTA ANGELI 1/PROMONTORIO,660-133
7502920-E00190-EstFer-Semaine-01,1181,44.421455,8.902389,PORTA ANGELI 2/CASTAGNA,660-133
7502920-E00190-EstFer-Semaine-01,1182,44.419182,8.903975,PORTA ANGELI 3/BARACCHETTA,660-133
7502920-E00190-EstFer-Semaine-01,1183,44.416447,8.904676,MURA ANGELI/BUONVICINI,660-133
7502920-E00190-EstFer-Semaine-01,1184,44.413696,8.904491,S.B. DEL FOSSATO 1/RIGOLA,660-133
7502920-E00190-EstFer-Semaine-01,1185,44.412884000000005,8.902978,S.B. DEL FOSSATO 2/GIARDINI,660-133
7502920-E00190-EstFer-Semaine-01,1186,44.413447999999995,8.902654,S.B. DEL FOSSATO 3/,660-133
7502920-E00190-EstFer-Semaine-01,1187,44.41312,8.901634,S.B. DEL FOSSATO 4/CASE PORTO,660-133
7502920-E00190-EstFer-Semaine-01,1188,44.414516,8.902792,S.B. DEL FOSSATO 5/DANTE CONTE,660-133
7502920-E00190-EstFer-Semaine-01,1189,44.41428,8.901502,S.B. DEL FOSSATO 6/CHIESA,660-133
7502920-E00190-EstFer-Semaine-01,1190,44.41106,8.899799,S.B. DEL FOSSATO 7/CANTORE,660-133
7502921-E00190-EstFer-Semaine-01,1165,44.411163,8.899987,S.B. DEL FOSSATO 1/CANTORE,660-133
7502921-E00190-EstFer-Semaine-01,1166,44.414032,8.901477,S.B. DEL FOSSATO 2/CHIESA,660-133
7502921-E00190-EstFer-Semaine-01,1167,44.41428,8.902463000000001,S.B. DEL FOSSATO 3/DANTE CONTE,660-133
