CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
GEAA80401T,100580097,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
GEAA80402V,100550288,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
GEAA80501N,100560073,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
GEAA80502P,100480204,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,4.4
GEAA80503Q,100340600,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
GEAA80601D,100540095,True,False,True,False,False,True,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
GEAA80602E,100540096,True,False,True,True,False,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2
GEAA807019,100250003,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.6
GEAA80702A,100250004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEAA808015,100250019,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEAA808026,100250020,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GEAA809011,100250030,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEAA809022,100250031,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEAA810015,100130079,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,5.6
GEAA811011,100250800,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEAA81201R,100250128,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEAA81202T,100250465,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
GEAA81301L,100330086,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
