IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS
0000158002019060920190915,12,40.35526,18.173727,Xxv Luglio - Prefettura,29
0000158002019060920190915,13,40.35215,18.173854,XXV Luglio-BPP,29
0000158002019060920190915,30,40.349286,18.172921,Lo Re'  -  Porta S. Biagio,29
0000158002019060920190915,34,40.358756,18.172888,De Pietro - Fronte Palazzo Di ,29
0000158002019060920190915,36,40.359848,18.171858,De Pietro,29
0000158002019060920190915,54,40.346233,18.166369,Quarta O. - Stazione,29
0000158002019060920190915,56,40.346544,18.170352,Gallipoli  - Museo S. Castrome,29
0000158002019060920190915,83,40.359501,18.169049,Calasso - Lato C. Pranzo,29
0000158002019060920190915,85,40.357181,18.167588,Parcheggio C.Pranzo,29
0000158002019060920190915,88,40.354602,18.166093,Dell'Universita'  - Liceo Palm,29
0000158002019060920190915,90,40.351532,18.164205,Dell'Universita'  - Porta Rudi,29
0000158002019060920190915,93,40.35065,18.163741,Gallipoli - Fronte Bar Rosso E,29
0000158002019060920190915,95,40.348873,18.166623,"Gallipoli, 16",29
0000158002019060920190915,197,40.363813,18.169829,Adriatica - Lato Scuola,29
0000158002019060920190915,210,40.365752,18.169432,Adriatica - Fronte Fermata 309,29
0000158002019060920190915,212,40.369129,18.168703,Adriatica - Caffetteria Fuori ,29
0000158002019060920190915,214,40.37345,18.169427,Adriatica - Fronte  Carrozzeri,29
0000158002019060920190915,215,40.376064,18.169557,"Adriatica, 178",29
0000158002019060920190915,218,40.382692,18.168894,Adriatica - Fronte Fermata 317,29
0000158002019060920190915,219,40.385424,18.168808,Adriatica - Outline,29
0000158002019060920190915,220,40.390284,18.166572,Fitto S. - Motorizzazione Civi,29
0000158002019060920190915,221,40.391451,18.167529,Fitto S. - Fine V. S.Fitto Fer,29
0000158002019060920190915,323,40.362015,18.168429,V.le P. d'Europa-Hotel Tiziano,29
0000158002019060920190915,378,40.369892,18.15976,"S. Nicola, 79",29
0000158002019060920190915,379,40.372542,18.159768,S. Nicola - Fronte Civ. 60,29
0000158002019060920190915,380,40.376647,18.156877,S. Nicola - Casa Circondariale,29
0000158002019060920190915,383,40.369463,18.156039,Calore -  Cooperativa,29
0000158002019060920190915,384,40.369515,18.157642,Granito - Chiesa,29
