NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
"LICEO ART. E COREUT. ""CIARDO-PELLEGRINO""",LECCE,LESL030506,VIA VECCHIA COPERTINO 6,40.332191200000004,18.1432402,http://www.iissotrantopoggiardo.it,LICEO ARTISTICO,LESL03000R,73100
"LICEO ART. E COREUT. ""CIARDO-PELLEGRINO""",LECCE,LESL03000R,VIA VECCHIA COPERTINO 6  LECCE,40.332191200000004,18.1432402,http://www.liceociardopellegrinolecce.gov.it,LICEO ARTISTICO,LESL03000R,73100
"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LERH00101P,VIA SAN PIETRO IN LAMA,40.325300899999995,18.1023548,http://www.istitutocolumella.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,LEIS00100E,73100
CPIA 1 LECCE,LECCE,LECT707006,VIA DI VERETO,40.3560977,18.166535500000002,,CENTRO TERRITORIALE,LEMM31000R,73100
"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LEIS00100E,VIA SAN PIETRO IN LAMA,40.325300899999995,18.1023548,,ISTITUTO SUPERIORE,LEIS00100E,73100
LECCE 4,LECCE,LEEE00400X,VIA CANTOBELLI,40.339702200000005,18.1797217,,SCUOLA PRIMARIA,LEEE00400X,73100
LECCE 4,LECCE,LEEE004033,VIA S.CESARIO 105,40.3406352,18.1689776,http://www.4circololecce.it,SCUOLA PRIMARIA,LEEE00400X,73100
"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LETL04251V,PIAZZA PALIO,40.3613152,18.1926779,http://http//www.galileicosta.gov.it/,ISTITUTO TECNICO PER GEOMETRI,LEIS04200R,73100
LECCE 5,LECCE,LEAA00505Q,VIA VECCHIA FRIGOLE,40.365109499999996,18.1802858,http://www.5tempesta.gov.it,SCUOLA INFANZIA,LEEE00500Q,73100
"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERC04201Q,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://itccopertino.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS04200R,73100
LECCE 5,LECCE,LEEE00500Q,VIA ARCHITA DA TARANTO,40.3662498,18.1758629,,SCUOLA PRIMARIA,LEEE00500Q,73100
LECCE 5,LECCE,LEEE00501R,VIA ARCHITA DA TARANTO,40.3662498,18.1758629,http://www.5tempesta.gov.it,SCUOLA PRIMARIA,LEEE00500Q,73100
"IISS ""VIRGILIO"" LECCE",LECCE,LEPC04601B,VIA GALILEO GALILEI 4,40.3464145,18.1562841,http://www.liceovirgilio.gov.it,LICEO CLASSICO,LEIS046004,73100
IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LEIS03100A,VIALE MARCHE 13,40.346158700000004,18.170952399999997,http://www.ipdepace.com,ISTITUTO SUPERIORE,LEIS03100A,73100
LECCE 5,LECCE,LEAA00502L,VIA OFANTO,40.3880732,18.1343212,http://www.5tempesta.gov.it,SCUOLA INFANZIA,LEEE00500Q,73100
IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LERC031019,VIALE MARCHE 15,40.346158700000004,18.170952399999997,http://info@ipdepace.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS03100A,73100
IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LETD03101L,VIALE MARCHE,40.3461826,18.1710538,http://info@ipdepace.com,ISTITUTO TECNICO COMMERCIALE,LEIS03100A,73100
LICEO PIETRO SICILIANI,LECCE,LEPM01000Q,VIA DI LEUCA ,40.3454513,18.174471399999998,http://www.liceosicilianilecce.gov.it,ISTITUTO MAGISTRALE,LEPM01000Q,73100
LICEO SCIENTIFICO BANZI BAZOLI GIULIETTA,LECCE,LEPS07000A,PIAZZA PALIO,40.3613152,18.1926779,http://www.liceobanzi.gov.it,LICEO SCIENTIFICO,LEPS07000A,73100
"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LEIS04200R,PIAZZA PALIO,40.3613152,18.1926779,,ISTITUTO SUPERIORE,LEIS04200R,73100
"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERC042515,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://itccopertino.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS04200R,73100
"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERI04201C,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://www.iissparabita.it,IST PROF INDUSTRIA E ARTIGIANATO,LEIS04200R,73100
STOMEO - ZIMBALO LECCE,LECCE,LEAA882021,VIA ROMA,40.397135399999996,18.131572,http://icstomeozimbalo.it,SCUOLA INFANZIA,LEIC882003,73100
"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERI04251T,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://www.iissparabita.it,IST PROF INDUSTRIA E ARTIGIANATO,LEIS04200R,73100
STOMEO - ZIMBALO LECCE,LECCE,LEEE882015,VIA CARRARA,40.3638592,18.2000425,http://icstomeozimbalo.it,SCUOLA PRIMARIA,LEIC882003,73100
STOMEO - ZIMBALO LECCE,LECCE,LEAA882043,VIALE ROMA,40.397135399999996,18.131572,http://icstomeozimbalo.it,SCUOLA INFANZIA,LEIC882003,73100
STOMEO - ZIMBALO LECCE,LECCE,LEEE882026,VIALE ROMA,40.397135399999996,18.131572,http://icstomeozimbalo.it,SCUOLA PRIMARIA,LEIC882003,73100
"ISTITUTO SUPERIORE ""F. CALASSO""",LECCE,LETD04401P,VIA BELICE,40.3687858,18.1721225,http://http//www.iisscalasso.gov.it,ISTITUTO TECNICO COMMERCIALE,LEIS04400C,73100
D. ALIGHIERI - DIAZ LECCE,LECCE,LEAA8AE037,VIA ESTRAFALLACES,40.36089260000001,18.152471399999996,http://www.alighieridiazlecce.it,SCUOLA INFANZIA,LEIC8AE008,73100
ASCANIO GRANDI,LECCE,LEMM00600E,VIA FRANCESCO PATITARI 2,40.3471934,18.1835221,http://www.ascaniograndi.it,SCUOLA PRIMO GRADO,LEMM00600E,73100
LECCE 4,LECCE,LEEE004022,VIA CANTOBELLI,40.339702200000005,18.1797217,http://www.4circololecce.it,SCUOLA PRIMARIA,LEEE00400X,73100
D. ALIGHIERI - DIAZ LECCE,LECCE,LEAA8AE026,VIA CASAVOLA,40.3466902,18.1530289,http://www.alighieridiazlecce.it,SCUOLA INFANZIA,LEIC8AE008,73100
"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LETA00101A,VIA SAN PIETRO IN LAMA,40.325300899999995,18.1023548,http://www.istitutocolumella.it,ISTITUTO TECNICO AGRARIO,LEIS00100E,73100
D. ALIGHIERI - DIAZ LECCE,LECCE,LEAA8AE015,VIA SOZY CARAFA,40.355940999999994,18.1612255,http://www.alighieridiazlecce.it,SCUOLA INFANZIA,LEIC8AE008,73100
IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LERC03151P,VIALE MARCHE 13,40.346158700000004,18.170952399999997,http://info@ipdepace.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS03100A,73100
D. ALIGHIERI - DIAZ LECCE,LECCE,LEMM8AE019,VIA DI VERETO,40.3560977,18.166535500000002,http://www.alighieridiazlecce.it,SCUOLA PRIMO GRADO,LEIC8AE008,73100
"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LERH001503,VIA SAN PIETRO IN LAMA SNC,40.340618400000004,18.154823699999998,http://www.istitutocolumella.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,LEIS00100E,73100
AMMIRATO - FALCONE LECCE,LECCE,LEMM89101V,VIA RAFFAELLO SANZIO 41,40.3380151,18.1764765,http://www.ammiratofalcone.gov.it,SCUOLA PRIMO GRADO,LEIC89100T,73100
AMMIRATO - FALCONE LECCE,LECCE,LEEE89101X,VIA ABRUZZI 6,40.3429213,18.1732807,http://www.ammiratofalcone.gov.it,SCUOLA PRIMARIA,LEIC89100T,73100
AMMIRATO - FALCONE LECCE,LECCE,LEAA89101P,VIA ABRUZZI,40.3429213,18.1732807,http://www.ammirato-falcone.it,SCUOLA INFANZIA,LEIC89100T,73100
"LICEO CLASSICO MUSICALE ""PALMIERI""",LECCE,LEPC03000R,VIALE DELL'UNIVERSITA' 12,40.35288370000001,18.1647209,http://www.liceopalmieri.it,LICEO CLASSICO,LEPC03000R,73100
AMMIRATO - FALCONE LECCE,LECCE,LEAA89102Q,VIA BASILICATA,40.3415545,18.1726396,http://www.ammiratofalcone.gov.it,SCUOLA INFANZIA,LEIC89100T,73100
"IST.TECNICO ""GRAZIA DELEDDA""-LECCE",LECCE,LETE010002,PIAZZA DEL PALIO 1,40.36039705,18.194838160388,http://www.itdeleddalecce.gov.it,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF),LETE010002,73100
AMMIRATO - FALCONE LECCE,LECCE,LEIC89100T,VIA RAFFAELLO SANZIO 41,40.3380151,18.1764765,,ISTITUTO COMPRENSIVO,LEIC89100T,73100
"I.I.S.S. ""E. FERMI""",LECCE,LEPS034018,VIA MERINE 5,40.3477795,18.1849487,http://www.fermilecce.it,LICEO SCIENTIFICO,LEIS03400T,73100
"ISTITUTO SUPERIORE ""F. CALASSO""",LECCE,LETD044514,VIA BELICE,40.3687858,18.1721225,http://http//www.isscalasso.gov.it,ISTITUTO TECNICO COMMERCIALE,LEIS04400C,73100
"I.I.S.S. ""E. FERMI""",LECCE,LETF03401A,VIA MERINE 5,40.3477795,18.1849487,http://www.fermilecce.gov,ISTITUTO TECNICO INDUSTRIALE,LEIS03400T,73100
