SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,True,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8,LECCE 4,LECCE,LEEE00400X,VIA CANTOBELLI,40.33970220000001,18.1797217,,SCUOLA PRIMARIA,LEEE00400X,73100
True,True,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8,LECCE 4,LECCE,LEEE004033,VIA S.CESARIO 105,40.3406352,18.1689776,http://www.4circololecce.it,SCUOLA PRIMARIA,LEEE00400X,73100
True,True,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8,LECCE 4,LECCE,LEEE004022,VIA CANTOBELLI,40.33970220000001,18.1797217,http://www.4circololecce.it,SCUOLA PRIMARIA,LEEE00400X,73100
True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8,LECCE 5,LECCE,LEAA00505Q,VIA VECCHIA FRIGOLE,40.3651095,18.1802858,http://www.5tempesta.gov.it,SCUOLA INFANZIA,LEEE00500Q,73100
True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8,LECCE 5,LECCE,LEEE00500Q,VIA ARCHITA DA TARANTO,40.3662498,18.1758629,,SCUOLA PRIMARIA,LEEE00500Q,73100
True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8,LECCE 5,LECCE,LEEE00501R,VIA ARCHITA DA TARANTO,40.3662498,18.1758629,http://www.5tempesta.gov.it,SCUOLA PRIMARIA,LEEE00500Q,73100
True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8,LECCE 5,LECCE,LEAA00502L,VIA OFANTO,40.3880732,18.1343212,http://www.5tempesta.gov.it,SCUOLA INFANZIA,LEEE00500Q,73100
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4,LECCE 2,LECCE,LEEE07100P,P.TTA CORTE CONTE ACCARDO,40.3576752,18.1716431,,SCUOLA PRIMARIA,LEEE07100P,73100
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,STOMEO - ZIMBALO LECCE,LECCE,LEAA882021,VIA ROMA,40.3971354,18.131572,http://icstomeozimbalo.it,SCUOLA INFANZIA,LEIC882003,73100
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,STOMEO - ZIMBALO LECCE,LECCE,LEEE882015,VIA CARRARA,40.3638592,18.2000425,http://icstomeozimbalo.it,SCUOLA PRIMARIA,LEIC882003,73100
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,STOMEO - ZIMBALO LECCE,LECCE,LEAA882043,VIALE ROMA,40.3971354,18.131572,http://icstomeozimbalo.it,SCUOLA INFANZIA,LEIC882003,73100
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,STOMEO - ZIMBALO LECCE,LECCE,LEEE882026,VIALE ROMA,40.3971354,18.131572,http://icstomeozimbalo.it,SCUOLA PRIMARIA,LEIC882003,73100
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,STOMEO - ZIMBALO LECCE,LECCE,LEAA882054,VIA CARRARA,40.3638592,18.2000425,http://icstomeozimbalo.it,SCUOLA INFANZIA,LEIC882003,73100
True,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4,AMMIRATO - FALCONE LECCE,LECCE,LEMM89101V,VIA RAFFAELLO SANZIO 41,40.3380151,18.1764765,http://www.ammiratofalcone.gov.it,SCUOLA PRIMO GRADO,LEIC89100T,73100
True,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4,AMMIRATO - FALCONE LECCE,LECCE,LEEE89101X,VIA ABRUZZI 6,40.3429213,18.1732807,http://www.ammiratofalcone.gov.it,SCUOLA PRIMARIA,LEIC89100T,73100
True,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4,AMMIRATO - FALCONE LECCE,LECCE,LEAA89101P,VIA ABRUZZI,40.3429213,18.1732807,http://www.ammirato-falcone.it,SCUOLA INFANZIA,LEIC89100T,73100
True,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4,AMMIRATO - FALCONE LECCE,LECCE,LEAA89102Q,VIA BASILICATA,40.3415545,18.1726396,http://www.ammiratofalcone.gov.it,SCUOLA INFANZIA,LEIC89100T,73100
True,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4,AMMIRATO - FALCONE LECCE,LECCE,LEIC89100T,VIA RAFFAELLO SANZIO 41,40.3380151,18.1764765,,ISTITUTO COMPRENSIVO,LEIC89100T,73100
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,D. ALIGHIERI - DIAZ LECCE,LECCE,LEAA8AE037,VIA ESTRAFALLACES,40.36089260000001,18.1524714,http://www.alighieridiazlecce.it,SCUOLA INFANZIA,LEIC8AE008,73100
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,D. ALIGHIERI - DIAZ LECCE,LECCE,LEAA8AE026,VIA CASAVOLA,40.3466902,18.1530289,http://www.alighieridiazlecce.it,SCUOLA INFANZIA,LEIC8AE008,73100
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,D. ALIGHIERI - DIAZ LECCE,LECCE,LEAA8AE015,VIA SOZY CARAFA,40.355941,18.1612255,http://www.alighieridiazlecce.it,SCUOLA INFANZIA,LEIC8AE008,73100
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,D. ALIGHIERI - DIAZ LECCE,LECCE,LEMM8AE019,VIA DI VERETO,40.3560977,18.1665355,http://www.alighieridiazlecce.it,SCUOLA PRIMO GRADO,LEIC8AE008,73100
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2,"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LERH00101P,VIA SAN PIETRO IN LAMA,40.3253009,18.1023548,http://www.istitutocolumella.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,LEIS00100E,73100
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2,"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LEIS00100E,VIA SAN PIETRO IN LAMA,40.3253009,18.1023548,,ISTITUTO SUPERIORE,LEIS00100E,73100
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2,"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LETA00101A,VIA SAN PIETRO IN LAMA,40.3253009,18.1023548,http://www.istitutocolumella.it,ISTITUTO TECNICO AGRARIO,LEIS00100E,73100
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2,"I.I.S.S. ""PRESTA- COLUMELLA"" LECCE",LECCE,LERH001503,VIA SAN PIETRO IN LAMA SNC,40.3406184,18.1548237,http://www.istitutocolumella.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,LEIS00100E,73100
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4,IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LEIS03100A,VIALE MARCHE 13,40.3461587,18.1709524,http://www.ipdepace.com,ISTITUTO SUPERIORE,LEIS03100A,73100
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4,IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LERC031019,VIALE MARCHE 15,40.3461587,18.1709524,http://info@ipdepace.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS03100A,73100
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4,IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LETD03101L,VIALE MARCHE,40.3461826,18.1710538,http://info@ipdepace.com,ISTITUTO TECNICO COMMERCIALE,LEIS03100A,73100
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4,IST.D'ISTRUZ.SUPERIORE A. DE PACE,LECCE,LERC03151P,VIALE MARCHE 13,40.3461587,18.1709524,http://info@ipdepace.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS03100A,73100
True,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4,"I.I.S.S. ""E. FERMI""",LECCE,LEPS034018,VIA MERINE 5,40.3477795,18.1849487,http://www.fermilecce.it,LICEO SCIENTIFICO,LEIS03400T,73100
True,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4,"I.I.S.S. ""E. FERMI""",LECCE,LETF03401A,VIA MERINE 5,40.3477795,18.1849487,http://www.fermilecce.gov,ISTITUTO TECNICO INDUSTRIALE,LEIS03400T,73100
True,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4,"I.I.S.S. ""E. FERMI""",LECCE,LEIS03400T,VIA MERINE 5,40.3477795,18.1849487,,ISTITUTO SUPERIORE,LEIS03400T,73100
True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LETL04251V,PIAZZA PALIO,40.3613152,18.1926779,http://http//www.galileicosta.gov.it/,ISTITUTO TECNICO PER GEOMETRI,LEIS04200R,73100
True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERC04201Q,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://itccopertino.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS04200R,73100
True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LEIS04200R,PIAZZA PALIO,40.3613152,18.1926779,,ISTITUTO SUPERIORE,LEIS04200R,73100
True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERC042515,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://itccopertino.com,IST PROF PER I SERVIZI COMMERCIALI,LEIS04200R,73100
True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERI04201C,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://www.iissparabita.it,IST PROF INDUSTRIA E ARTIGIANATO,LEIS04200R,73100
True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,"I.I.S.S.""GALILEI COSTA SCARAMBONE """,LECCE,LERI04251T,VIA DALMAZIO BIRAGO 89,40.3517962,18.1615467,http://www.iissparabita.it,IST PROF INDUSTRIA E ARTIGIANATO,LEIS04200R,73100
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2,"ISTITUTO SUPERIORE ""F. CALASSO""",LECCE,LETD04401P,VIA BELICE,40.3687858,18.1721225,http://http//www.iisscalasso.gov.it,ISTITUTO TECNICO COMMERCIALE,LEIS04400C,73100
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2,"ISTITUTO SUPERIORE ""F. CALASSO""",LECCE,LETD044514,VIA BELICE,40.3687858,18.1721225,http://http//www.isscalasso.gov.it,ISTITUTO TECNICO COMMERCIALE,LEIS04400C,73100
