CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
LEAA001018,750351103,True,False,False,True,True,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA00108G,750350018,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA00404V,750350246,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA004061,750350015,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA00502L,750350016,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA00502L,750351613,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
LEAA00503N,750352303,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA00505Q,750351104,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA03401G,750390319,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
LEAA03402L,750390319,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
LEAA03403N,750390107,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA03404P,750390109,True,False,True,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA07102G,750350017,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA081015,750830193,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,3.6
LEAA081026,750830192,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA80001B,750200228,True,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA80002C,750200229,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA80003D,750200426,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA80301V,750660023,True,False,True,False,True,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA803031,750500058,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA803042,750600057,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,4.4
LEAA80401P,750020020,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA80402Q,750020021,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA80403R,750770212,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
LEAA810023,750060034,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA810034,750060035,True,False,False,True,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA810045,750060036,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
LEAA81201N,750250106,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA81202P,750080345,True,False,False,True,True,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA81203Q,750120367,True,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA81301D,750510519,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA81302E,750320878,True,False,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA81303G,750581265,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA81304L,750671111,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA816011,750101653,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA816022,750410039,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA816033,750130038,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA81703V,750400111,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA81704X,750400112,True,False,False,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA817062,750150287,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
LEAA81901C,750230069,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA81902D,750450322,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA81903E,750180284,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
LEAA82101C,750391267,True,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA822029,750210162,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
LEAA82203A,750890146,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,4.8
LEAA823036,750260071,True,False,True,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA823047,750260292,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.4
LEAA82401X,750280074,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA824021,750280297,True,False,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA824021,750281120,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2.0
LEAA824065,750191106,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,4.8
LEAA82701B,750361099,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
LEAA82702C,750360093,True,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,4.8
LEAA82703D,750360094,True,False,True,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA82704E,750710095,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA828017,750380100,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA828017,750382152,True,False,False,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA828028,750380099,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA829013,750430116,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA829024,750430117,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.4
LEAA830017,750370096,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA830028,750370096,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA831013,750970769,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA83201V,750370503,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.4
LEAA832031,750370097,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,2.4
LEAA83301P,750441226,True,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,4.4
LEAA83501A,750460120,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA83502B,750490921,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
LEAA836016,750470122,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA836038,750720124,True,True,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA836049,750721258,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
LEAA83801T,750530524,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,5.6
LEAA83801T,750530145,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA83802V,750741225,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA84003X,750480127,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
LEAA840041,750072266,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA84101N,750480129,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA84102P,750480128,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA84102P,750481543,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA84201D,750551108,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
LEAA843019,750910126,True,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
