IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS,ANDATA
10,U271,45.815509000000006,8.831635,Piave 4,001,True
10,U99,45.794356,8.809566,Capolago (De Amicis),001,True
10,U208,45.830302,8.826002,Ippodromo (M.Liberta'),001,True
10,U128,45.807821000000004,8.833323,Conca d'Oro,001,True
10,U11,45.822765999999994,8.825161999999999,Aguggiari 15 (Grandi),001,True
10,U75,45.811908,8.832642,Bosto (S. Imerio),001,True
10,U137,45.81739,8.82743,Corso Moro (INPS),001,True
10,U333,45.796279999999996,8.813108999999999,Tasso (fr.Campo Sportivo),001,True
10,U40,45.82533,8.828880999999999,Biumo Superiore (Litta),001,True
10,U340,45.806681,8.832600999999999,Uberti (fr.6),001,True
10,U332,45.797625,8.832994,Tasso (fr. 7),001,True
10,U358,45.81876,8.8252,Veratti (Sacco),001,True
10,U357,45.821220000000004,8.825239999999999,Veratti (fr 28),001,True
10,U336,45.79929,8.828510000000001,Tasso (Prati),001,True
10,U5,45.828947,8.823654,Aguggiari (Montello),001,True
10,U331,45.797399,8.816443,Tasso (dei Boderi),001,True
10,U187,45.802338,8.833716,Europa (Chiesa Immacolata),001,True
10,U259,45.81642,8.831027,Orrigoni,001,True
10,U188,45.804065,8.832761999999999,Europa (IP),001,True
10,U100,45.793582,8.807738,Capolago (Fe'),001,True
10,U209,45.827771000000006,8.826871,Isonzo (Castiglioni),001,True
10,U337,45.800299,8.823191,Tasso 64,001,True
1001,U283,45.840159,8.810798,S. Ambrogio (Milite Ignoto),003,True
1001,U7,45.833845000000004,8.820184,Aguggiari (Palazzi),003,True
1001,U1,45.835701,8.818,Aguggiari (Busca),003,True
1001,U41,45.793805,8.853162,Bizzozero (Nabresina ),003,True
1001,U119,45.803606,8.852135,Carnia fr 233 (Fusinato),003,True
1001,U257,45.817433,8.831431,Morosini (FS/FNM),003,True
1001,U245,45.796319,8.854723,Monte Generoso 44 (Vigno'),003,True
1001,U95,45.812732000000004,8.839208,Cadore 18 (fr Galmarini),003,True
1001,U363,45.843367,8.807165,Virgilio 45 (Ausonio),003,True
1001,U12,45.832477000000004,8.821806,Aguggiari 161 (Scuola Materna),003,True
1001,U116,45.810579,8.845184,Carnia 44 (Sebenico),003,True
1001,U183,45.802323,8.850535,Deledda (Maiano),003,True
1001,U286,45.814409000000005,8.836928,S. Giusto 6,003,True
1001,U212,45.815072,8.835134,Leonardo Da Vinci (Biroldi),003,True
1001,U109,45.804512,8.847758,Carnia (Guicciardini),003,True
1001,U115,45.802074,8.854974,Carnia 270,003,True
1001,U277,45.848876000000004,8.797526,Prima Cappella(Quintino Sella),003,True
1001,U366,45.845457,8.8027,Virgilio 79 (Pitagora),003,True
1001,U279,45.846555,8.797524000000001,Quintino Sella (Adige),003,True
1001,U113,45.809699,8.847005000000001,Carnia 100 (Tagliamento),003,True
1001,U372,45.858307,8.787725,Vellone (Stazione Funicolare),003,True
1001,U8,45.836812,8.81663,Aguggiari (Vannucci),003,True
1001,U96,45.811966,8.840385000000001,Cadore 55 (Lazio),003,True
1001,U362,45.841834000000006,8.808605,Virgilio 27 (Prealpi),003,True
1001,U111,45.799281,8.857085000000001,Carnia (Monte Generoso 9),003,True
1001,U246,45.798472,8.855012,Monte Generoso 71 (ASL),003,True
1001,U112,45.808121,8.849445,Carnia 132 (Rodari),003,True
1001,U275,45.850194,8.794843,Prima Cappella (Montanari),003,True
1001,U239,45.816805,8.834938000000001,Maspero 10,003,True
1003,U94,45.862576000000004,8.787674,C.Dei Fiori (bivio),003,True
1003,U177,45.861568,8.790532,Del Ceppo (Fincara' Funicolare),003,True
1003,U182,45.85035,8.795950999999999,Del Santuario (Immacolata),003,True
1003,U287,45.863786,8.791819,S. Monte (P.le Pogliaghi),003,True
1003,U180,45.864154,8.790177,Del Ceppo fr.37,003,True
1003,U89,45.855495,8.793465,C. Dei Fiori (fr. 7 Cappella),003,True
1009,U108,45.812634,8.839455000000001,Carnia (Galmarini),003,False
1009,U15,45.830265999999995,8.823431,Aguggiari 58 (Cimabue),003,False
1009,U10,45.835916999999995,8.817895,Aguggiari 136 (Ronchetto Fe'),003,False
1009,U41,45.793805,8.853162,Bizzozero (Nabresina ),003,False
1009,U117,45.809785999999995,8.847325,Carnia 55 (fr.Tagliamento),003,False
1009,U213,45.815468,8.835211,Leonardo Da Vinci 19,003,False
1009,U278,45.848892,8.797971,Quintino Sella ( Oronco),003,False
1009,U282,45.840113,8.810887,S. Ambrogio (fr.Milite Ignoto),003,False
1009,U136,45.817479999999996,8.826889999999999,Corso Moro (fr.INPS),003,False
1009,U245,45.796319,8.854723,Monte Generoso 44 (Vigno'),003,False
1009,U6,45.832598,8.821747,Aguggiari (Nuvolone),003,False
1009,U359,45.819784999999996,8.825187,Veratti 14 (del Cairo),003,False
1009,U183,45.802323,8.850535,Deledda (Maiano),003,False
1009,U120,45.80356,8.85184,Carnia fr 238 (Fusinato),003,False
1009,U4,45.827896,8.824069999999999,Aguggiari (fr Veronese),003,False
1009,U2,45.821690000000004,8.825439999999999,Aguggiari (Beccaria),003,False
1009,U285,45.814485999999995,8.836659,S. Giusto 15 (Parenzo),003,False
1009,U247,45.798728000000004,8.854911,Monte Generoso 84 (ASL),003,False
1009,U118,45.805223,8.847936,Carnia fr 172 (A.Frank),003,False
1009,U372,45.858307,8.787725,Vellone (Stazione Funicolare),003,False
1009,U364,45.843519,8.807159,Virgilio 54 (Robarello),003,False
1009,U280,45.846618,8.797372,Quintino Sella 30 (Adige),003,False
1009,U3,45.836773,8.816855,Aguggiari (fr Vannucci),003,False
1009,U9,45.834145,8.819932000000001,Aguggiari 114 (Del Sarto),003,False
1009,U367,45.81725,8.82986,Vittorio Veneto,003,False
1009,U13,45.823713,8.824986,Aguggiari 20 (Bertini ),003,False
1009,U110,45.811257,8.84193,Carnia (Malnasca),003,False
1009,U365,45.845458,8.802837,Virgilio 78 (Archimede),003,False
1009,U114,45.801953000000005,8.855041,Carnia 267 (Negri),003,False
