SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0,"IC VARESE 1 ""DON RIMOLDI""",VARESE,VAIC86900B,VIA PERGINE 6,45.829485,8.85223364532811,,ISTITUTO COMPRENSIVO,VAIC86900B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0,"IC VARESE 1 ""DON RIMOLDI""",VARESE,VAEE86906P,VIA COMO 15,45.8185372,8.830956500000003,http://www.icvarese1donrimoldi.gov.it,SCUOLA PRIMARIA,VAIC86900B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0,"IC VARESE 1 ""DON RIMOLDI""",VARESE,VAEE86904L,VIA CAIROLI ,44.4124149,8.9302063,http://www.icvarese1donrimoldi.gov.it,SCUOLA PRIMARIA,VAIC86900B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0,"IC VARESE 1 ""DON RIMOLDI""",VARESE,VAMM86901C,VIA PERGINE 6,45.829485,8.85223364532811,http://www.icvarese1donrimoldi.gov.it,SCUOLA PRIMO GRADO,VAIC86900B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0,"IC VARESE 1 ""DON RIMOLDI""",VARESE,VAEE86901D,VIA MONFALCONE 15,45.8307717,8.849805171790413,http://www.icvarese1donrimoldi.gov.it,SCUOLA PRIMARIA,VAIC86900B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0,"IC VARESE 1 ""DON RIMOLDI""",VARESE,VAEE86903G,VIA BRUNICO 57,45.8219977,8.8415212,http://www.icvarese1donrimoldi.gov.it,SCUOLA PRIMARIA,VAIC86900B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0,"IC VARESE 1 ""DON RIMOLDI""",VARESE,VAAA869018,VIA BRUNICO 63,45.8219977,8.8415212,http://www.icvarese1donrimoldi.gov.it,SCUOLA INFANZIA,VAIC86900B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,6.4,"IC VARESE 4 ""A.FRANK """,VARESE,VAAA871018,VIA TAGLIAMENTO 23,45.8093483,8.8473483,http://www.icvarese4afrank.gov.it,SCUOLA INFANZIA,VAIC87100B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,6.4,"IC VARESE 4 ""A.FRANK """,VARESE,VAEE87102E,VIA ADRIATICO 3,45.7922286,8.850649,http://www.icvarese4afrank.gov.it,SCUOLA PRIMARIA,VAIC87100B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,6.4,"IC VARESE 4 ""A.FRANK """,VARESE,VAEE87105N,VIA NINO BIXIO 24,45.8137551,8.8354121,http://www.icvarese4afrank.gov.it,SCUOLA PRIMARIA,VAIC87100B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,6.4,"IC VARESE 4 ""A.FRANK """,VARESE,VAEE87101D,VIA TAGLIAMENTO 25,45.8093483,8.8473483,http://www.icvarese4afrank.gov.it,SCUOLA PRIMARIA,VAIC87100B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,6.4,"IC VARESE 4 ""A.FRANK """,VARESE,VAMM87101C,VIA CARNIA 155,45.80383060000001,8.851357499999997,http://www.icvarese4afrank.gov.it,SCUOLA PRIMO GRADO,VAIC87100B,21100
True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,6.4,"IC VARESE 4 ""A.FRANK """,VARESE,VAEE87107Q,VIA NIFONTANO ,45.8038054,8.8317579,http://www.icvarese4afrank.gov.it,SCUOLA PRIMARIA,VAIC87100B,21100
True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4,IC VARESE 3 VIDOLETTI,VARESE,VAEE87206E,VIA IPPOLITO NIEVO 7,45.8295311,8.7978478,http://www.icvarese3-vidoletti.it,SCUOLA PRIMARIA,VAIC872007,21100
True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4,IC VARESE 3 VIDOLETTI,VARESE,VAMM872018,VIA MANI,12.8531843,7.8773704,http://www.icvarese3-vidoletti.it,SCUOLA PRIMO GRADO,VAIC872007,21100
True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4,IC VARESE 3 VIDOLETTI,VARESE,VAAA872025,VIA MAGGIORA ,45.7025984,8.4470933,http://www.icvarese3-vidoletti.it,SCUOLA INFANZIA,VAIC872007,21100
True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4,IC VARESE 3 VIDOLETTI,VARESE,VAIC872007,VIA MANI,12.8531843,7.8773704,,ISTITUTO COMPRENSIVO,VAIC872007,21100
True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4,IC VARESE 3 VIDOLETTI,VARESE,VAEE87205D,VIA PONTIDA 21,45.84309985,8.79545226765528,http://www.icvarese3-vidoletti.it,SCUOLA PRIMARIA,VAIC872007,21100
True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,IC VARESE 2 PELLICO,VARESE,VAAA87301X,VIA CIMABUE 1,45.8365834,8.8196759,http://www.scuolapellico-varese2.it,SCUOLA INFANZIA,VAIC873003,21100
True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,4.8,"I.C VARESE 5""DANTE ALIGHIERI""",VARESE,VAAA87401Q,VIA DEL GAGGIO 9,45.7887908,8.818443499999997,http://www.danteweb.gov.it,SCUOLA INFANZIA,VAIC87400V,21100
True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,4.8,"I.C VARESE 5""DANTE ALIGHIERI""",VARESE,VAEE874033,VIA DEL GAGGIO 9,45.7887908,8.818443499999997,http://www.danteweb.gov.it,SCUOLA PRIMARIA,VAIC87400V,21100
True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,4.8,"I.C VARESE 5""DANTE ALIGHIERI""",VARESE,VAEE874022,VIA DAVERIO 97,45.8154029,8.811618800000002,http://www.danteweb.gov.it,SCUOLA PRIMARIA,VAIC87400V,21100
False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,3.6,ERNESTO CAIROLI - VARESE,VARESE,VAPC020001,VIA DANTE 11,45.88781450000001,8.870660699999998,http://www.liceoclassicovarese.gov.it,LICEO CLASSICO,VAPC020001,21100
True,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8,"L. SCIENT. ""G. FERRARIS"" - VARESE",VARESE,VAPS03000P,VIA SORRISOLE 6,45.8362536,8.8107977,http://www.liceoferrarisvarese.gov.it,LICEO SCIENTIFICO,VAPS03000P,21100
True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True,True,4.4,"""ANGELO FRATTINI""",VARESE,VASL040006,VIA VALVERDE 2,45.8350392,8.8038364,http://artisticovarese.gov.it,LICEO ARTISTICO,VASL040006,21100
