CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI
AGAA01103A,840111102,True,False,False,False,False
AGAA01109L,840111103,True,True,False,True,False
AGAA02406G,840274812,True,True,False,False,True
AGAA02408N,840274843,True,False,False,False,False
AGAA034022,840414314,True,False,False,False,False
AGAA034033,840413404,True,False,False,False,False
AGAA034044,840414314,True,False,False,False,False
AGAA034088,840414278,True,False,False,True,True
AGAA03502T,840414292,True,False,False,False,False
AGAA03504X,840414313,True,False,False,False,False
AGAA80501X,840351111,True,False,False,True,False
AGAA805032,840393424,True,True,True,False,False
AGAA80701G,840144101,True,False,True,False,True
AGAA80702L,840144101,True,False,True,False,True
AGAA80704P,840243350,True,False,False,False,False
AGAA80802C,840254459,True,False,True,False,True
AGAA80803D,840383350,True,False,True,False,False
AGAA81001B,840204907,True,False,False,False,True
AGAA81002C,840204911,True,False,False,False,False
AGAA812013,840023122,True,False,False,False,False
AGAA812024,840151900,True,False,True,False,False
AGAA812035,840041065,True,False,False,False,True
AGAA81301V,840401141,True,False,False,False,False
AGAA81501E,840131054,True,False,False,False,False
AGAA81502G,840111099,True,False,False,False,True
AGAA817027,840341116,True,False,False,True,False
AGAA818023,840361148,True,False,False,False,False
AGAA818023,840361149,False,False,False,True,False
AGAA81901T,840421153,True,False,True,True,False
AGAA81902V,840321040,True,True,False,False,False
AGAA81903X,840321040,True,True,False,False,False
AGAA820012,840010022,True,False,False,False,False
AGAA820023,840010027,True,False,False,False,False
AGAA820034,840010023,True,False,False,False,False
AGAA82101T,840010032,True,False,False,False,True
AGAA82102V,840010031,True,False,False,True,True
AGAA82202P,840010042,True,True,False,True,True
AGAA82302E,840010005,True,True,False,True,True
AGAA82303G,840010004,True,False,False,True,False
AGAA82305N,840010001,True,False,False,False,False
AGAA824019,840010070,True,False,False,False,False
AGAA82404C,840010068,True,False,False,False,True
AGAA82405D,840010066,True,True,False,True,True
AGAA82407G,840010060,True,False,False,False,False
AGAA826011,840054835,True,True,True,True,False
AGAA826022,840221892,True,False,False,False,False
