IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS,ANDATA
1,5003,45.41748,12.367735,"Lido (S.M.E.) ""D""",1,True
1,5005,45.425426,12.360565,"S. Elena ""C"" SX",1,True
1,5007,45.429848,12.354835000000001,Giardini SX,1,True
1,5013,45.433341999999996,12.342007,"S. Zaccaria (Danieli) ""F""",1,True
1,5030,45.438922999999996,12.31883,"P.le Roma (S. Chiara) ""F""",1,True
1,5034,45.441998,12.325667,Riva de Biasio SX,1,True
1,5036,45.441746,12.330798,S. Stae,1,True
1,5037,45.440563,12.333899,Ca' D'Oro,1,True
1,5040,45.437088,12.334779,"Rialto ""B""",1,True
1,5041,45.436809999999994,12.333188,S. Silvestro,1,True
1,5042,45.435596000000004,12.33035,S. Angelo,1,True
1,5044,45.435249,12.328128,S. Toma' DX,1,True
1,5045,45.433285,12.327133,Ca' Rezzonico,1,True
1,5048,45.431736,12.328522999999999,Accademia DX,1,True
1,5051,45.431430999999996,12.332637,S. Maria del Giglio,1,True
1,5052,45.431171,12.334374,Salute,1,True
1,5053,45.432125,12.337271000000001,S. Marco (Vallaresso) SX,1,True
1,5132,45.442513,12.328278,S. Marcuola-Casino' SX,1,True
1,5133,45.432896,12.34833,Arsenale SX,1,True
1,5138,45.439453,12.335298,Rialto Mercato,1,True
1,5191,45.439873,12.32088,"Ferrovia ""E""",1,True
4,5027,45.43985,12.317839,"P.le Roma (Scomenzera) ""C",3,True
46,5038,45.437584,12.335558,"Rialto ""D""",4,True
1917,5003,45.41748,12.367735,"Lido (S.M.E.) ""D""",7,False
1917,5004,45.42532,12.360782,Sant' Elena,7,False
1917,5008,45.432774,12.348552,Arsenale DX,7,False
1917,5014,45.433384000000004,12.342215,"S. Zaccaria (Danieli) ""E""",7,False
1917,5031,45.438815999999996,12.319038,"P.le Roma (S. Chiara) ""G""",7,False
1917,5034,45.441998,12.325667,Riva de Biasio SX,7,False
1917,5035,45.442444,12.32882,S. Marcuola-Casino' DX,7,False
1917,5036,45.441746,12.330798,S. Stae,7,False
1917,5037,45.440563,12.333899,Ca' D'Oro,7,False
1917,5041,45.436809999999994,12.333188,S. Silvestro,7,False
1917,5042,45.435596000000004,12.33035,S. Angelo,7,False
