NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
I.C. LEONARDO DA VINCI,VENEZIA,VEEE87302L,VIA PORTO DI CAVERGNAGO ,45.4867282,12.276655,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMARIA,VEIC87300D,30173
I.C. C. GIULIO CESARE,VENEZIA,VEAA87202G,VIA P.KOLBE ,45.4843994,12.2455031132946,http://www.scuolagiuliocesare.net/,SCUOLA INFANZIA,VEIC87200N,30172
I.I.S. LUIGI STEFANINI,VENEZIA,VEPM02000G,VIA DEL MIGLIO ,45.4926126,12.266906800000001,http://www.liceistefanini.gov.it,ISTITUTO MAGISTRALE,VEPM02000G,30173
I.C. C. GIULIO CESARE,VENEZIA,VEEE87201Q,VIA CAPPUCCINA 74,45.4857911,12.2376746,http://www.scuolagiuliocesare.net/,SCUOLA PRIMARIA,VEIC87200N,30172
I.C. C. GIULIO CESARE,VENEZIA,VEIC87200N,VIA CAPPUCCINA /D,45.4879545,12.238945,,ISTITUTO COMPRENSIVO,VEIC87200N,30172
I.C. C. GIULIO CESARE,VENEZIA,VEEE87202R,VIA P.KOLBE ,45.4843994,12.2455031132946,http://www.scuolagiuliocesare.net/,SCUOLA PRIMARIA,VEIC87200N,30172
I.C. ILARIA ALPI,VENEZIA,VEAA83401Q,VIA MONTE FADALTO ,45.506053200000004,12.2839609,http://www.icilariaalpifavaro.it,SCUOLA INFANZIA,VEIC83400V,30173
I.C. ILARIA ALPI,VENEZIA,VEMM83401X,VIA PASSO S.BOLDO 26,45.5048713,12.2786241,http://www.icilariaalpifavaro.it,SCUOLA PRIMO GRADO,VEIC83400V,30173
I.C. C. GIULIO CESARE,VENEZIA,VEMM87201P,VIA CAPPUCCINA /D,45.4879545,12.238945,http://www.scuolagiuliocesare.net/,SCUOLA PRIMO GRADO,VEIC87200N,30172
I.C. ILARIA ALPI,VENEZIA,VEIC83400V,VIA GOBBI 1,45.4927419,12.293649,,ISTITUTO COMPRENSIVO,VEIC83400V,30173
BENEDETTI-TOMMASEO,VENEZIA,VEPM02601G,CASTELLO 2858,45.434680900000004,12.350914064274301,http://www.liceobenedettitommaseo.it/,ISTITUTO MAGISTRALE,VEIS026004,30125
""" ANDREA GRITTI """,VENEZIA,VETN018019,VIA LUDOVICO ANTONIO MURATORI 7,45.48890170000001,12.2656219,http://www.istitutogritti.it,ISTITUTO TECNICO PER IL TURISMO,VEIS018005,30173
ANTONIO GRAMSCI,VENEZIA,VEEE81002D,VIA PASSO /G,45.9169409,12.6638923,http://www.icgramscicampalto.gov.it,SCUOLA PRIMARIA,VEIC81000A,30173
