SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,ANTONIO GRAMSCI,VENEZIA,VEEE81002D,VIA PASSO /G,45.9169409,12.6638923,http://www.icgramscicampalto.gov.it,SCUOLA PRIMARIA,VEIC81000A,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,ANTONIO GRAMSCI,VENEZIA,VEEE81001C,P.LE ZENDRINI ,45.4798232,12.2898881,http://www.icgramscicampalto.gov.it,SCUOLA PRIMARIA,VEIC81000A,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,ANTONIO GRAMSCI,VENEZIA,VEAA810017,VIA SABBADINO ,45.47680250000001,12.5416211,http://www.icgramscicampalto.gov.it,SCUOLA INFANZIA,VEIC81000A,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,ANTONIO GRAMSCI,VENEZIA,VEMM81001B,VIA PASSO ,43.7866937,12.8580992,http://www.icgramscicampalto.gov.it,SCUOLA PRIMO GRADO,VEIC81000A,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,ANTONIO GRAMSCI,VENEZIA,VEIC81000A,VIA PASSO CAMPALTO /O,45.4864627,12.2972431,,ISTITUTO COMPRENSIVO,VEIC81000A,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,ANTONIO GRAMSCI,VENEZIA,VEAA810028,P.LE S. BENEDETTO ,45.48679325,12.2937593466662,http://www.icgramscicampalto.gov.it,SCUOLA INFANZIA,VEIC81000A,30173
True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8,I.C. U. FOSCOLO MURANO-BURANO,VENEZIA,VEAA81402G,F.TA VENIER ,45.4578161,12.350829,http://http//www.icmuranoburano.gov.it,SCUOLA INFANZIA,VEIC81400N,30141
True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8,I.C. U. FOSCOLO MURANO-BURANO,VENEZIA,VEMM81401P,FONDAMENTA RADI ,27.3626503,91.7254731,http://http//www.icmuranoburano.gov.it,SCUOLA PRIMO GRADO,VEIC81400N,30141
True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8,I.C. U. FOSCOLO MURANO-BURANO,VENEZIA,VEEE81402R,CALLE CONVENTO 21,45.459951200000006,12.3567959,http://http//www.icmuranoburano.gov.it,SCUOLA PRIMARIA,VEIC81400N,30141
True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8,I.C. U. FOSCOLO MURANO-BURANO,VENEZIA,VEIC81400N,FONDAMENTA RADI ,27.3626503,91.7254731,,ISTITUTO COMPRENSIVO,VEIC81400N,30141
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,GIULIO CESARE PAROLARI,VENEZIA,VEEE82703X,VIA VICENTINO ,45.527203,12.1919325,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,GIULIO CESARE PAROLARI,VENEZIA,VEEE827063,VIA CASTELLANA 15,45.53932215,12.1752163474427,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,GIULIO CESARE PAROLARI,VENEZIA,VEEE827052,VIA DEL GAZZATO 6,45.5044881,12.2305205,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,GIULIO CESARE PAROLARI,VENEZIA,VEIC82700Q,VIA CASTELLANA 15,45.53932215,12.1752163474427,,ISTITUTO COMPRENSIVO,VEIC82700Q,30174
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,GIULIO CESARE PAROLARI,VENEZIA,VEEE827041,VIA ZANDOMENEGHI 1,45.5118731,12.2108403,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
