CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VEAA80401X,270192733,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VEAA804021,270192740,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VEAA80502R,270412751,True,False,False,True,False,True,True,True,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VEAA80503T,270072748,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VEAA80601G,270151057,True,False,True,True,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VEAA80602L,270222532,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VEAA80702C,270322300,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VEAA808017,270030619,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VEAA809024,270331503,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
VEAA810017,270423509,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VEAA810028,270423517,True,False,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
VEAA811013,270400645,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
VEAA81501A,270192738,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VEAA816016,270020627,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,True,3.6
VEAA817012,270271073,True,False,True,True,False,True,True,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,5.2
VEAA81801T,270112696,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VEAA81802V,270112695,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,3.6
VEAA81803X,270112693,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
